est	obs	kind
115.01113987	41	est/obs
121.497742653	53	est/obs
141.639381409	37	est/obs
134.826332092	68	est/obs
149.421043396	74	est/obs
110.479972839	35	est/obs
117.817192078	30	est/obs
99.4590682983	49	est/obs
140.589898109	38	est/obs
285.802088737	111	est/obs
294.796853065	93	est/obs
170.665097237	56	est/obs
97.1872282028	30	est/obs
52.3543481827	35	est/obs
223.637827873	91	est/obs
94.8231868744	36	est/obs
133.348285675	31	est/obs
117.107151031	58	est/obs
137.003627777	53	est/obs
95.1734046936	51	est/obs
69.6413383484	34	est/obs
47.900270462	32	est/obs
69.5233869553	31	est/obs
56.1398496628	35	est/obs
107.543334961	57	est/obs
68.9387483597	34	est/obs
26.4079227448	31	est/obs
60.1944952011	46	est/obs
44.6107778549	39	est/obs
95.3189020157	70	est/obs
45.5896453857	31	est/obs
48.4729290009	33	est/obs
92.0002756119	38	est/obs
78.8176774979	34	est/obs
163.908614159	88	est/obs
160.021590233	67	est/obs
90.9752264023	32	est/obs
184.863911629	117	est/obs
37.3222227097	38	est/obs
45.3282594681	38	est/obs
80.9338140488	89	est/obs
86.7459802628	81	est/obs
55.0964632034	36	est/obs
37.8477067947	32	est/obs
32.5832719803	31	est/obs
33.5419664383	36	est/obs
180.397982597	128	est/obs
69.8316688538	31	est/obs
89.1665000916	39	est/obs
340.801820755	146	est/obs
221.496133804	91	est/obs
328.833017349	125	est/obs
149.234550476	92	est/obs
182.17165947	194	est/obs
190.655716896	41	est/obs
52.9442825317	31	est/obs
130.200987816	32	est/obs
167.917699814	56	est/obs
51.9391393661	34	est/obs
56.6248655319	32	est/obs
45.5070066452	69	est/obs
57.9907770157	34	est/obs
29.3088769913	31	est/obs
62.5851831436	31	est/obs
56.0934123993	30	est/obs
37.2853450775	40	est/obs
34.4955768585	37	est/obs
277.92056179	133	est/obs
106.407488823	44	est/obs
162.655194283	66	est/obs
124.747853279	34	est/obs
129.928135872	56	est/obs
167.000000954	38	est/obs
246.144078255	116	est/obs
299.488148689	127	est/obs
182.969201088	51	est/obs
164.232539177	47	est/obs
102.323061943	42	est/obs
45.2701425552	35	est/obs
157.631583214	43	est/obs
177.747559547	96	est/obs
105.591610909	60	est/obs
117.934607506	53	est/obs
67.595041275	33	est/obs
38.7474813461	34	est/obs
60.8374872208	32	est/obs
39.4555559158	31	est/obs
75.2638578415	49	est/obs
113.41445446	41	est/obs
208.882911682	130	est/obs
224.267189026	89	est/obs
156.95207119	35	est/obs
111.035438538	61	est/obs
97.864356041	66	est/obs
69.1405878067	41	est/obs
26.0302400589	61	est/obs
118.486863136	44	est/obs
107.504142761	131	est/obs
98.7033939362	35	est/obs
81.2845172882	36	est/obs
103.643960953	72	est/obs
108.117200851	46	est/obs
63.1427669525	30	est/obs
83.0521402359	39	est/obs
118.116415024	77	est/obs
77.9815044403	59	est/obs
196.706225395	57	est/obs
99.5862951279	30	est/obs
119.143012047	33	est/obs
104.754612923	46	est/obs
179.288580894	96	est/obs
187.842850685	85	est/obs
159.541371346	34	est/obs
118.262915611	38	est/obs
138.244877815	42	est/obs
85.8971242905	36	est/obs
104.525592804	32	est/obs
81.7665395737	34	est/obs
28.5669336319	36	est/obs
130.118760109	41	est/obs
134.934948921	96	est/obs
85.4714784622	60	est/obs
57.760219574	36	est/obs
230.488200188	213	est/obs
78.4302377701	39	est/obs
273.745774269	157	est/obs
40.265501976	39	est/obs
143.530039787	43	est/obs
55.1524572372	62	est/obs
83.7402963638	43	est/obs
76.4265298843	53	est/obs
158.902788162	271	est/obs
29.5410432816	31	est/obs
99.3619852066	68	est/obs
129.342770576	60	est/obs
165.295063972	262	est/obs
101.728142738	72	est/obs
72.2877874374	41	est/obs
102.459541321	121	est/obs
73.9491558075	38	est/obs
96.5299158096	74	est/obs
121.201652527	138	est/obs
246.196171761	127	est/obs
24.5932388306	49	est/obs
85.511179924	51	est/obs
340.600605965	201	est/obs
61.3809843063	42	est/obs
138.53427887	120	est/obs
50.0798091888	34	est/obs
61.9342184067	32	est/obs
57.3522520065	33	est/obs
165.228581429	112	est/obs
198.02749157	103	est/obs
138.324522972	35	est/obs
83.0777292252	33	est/obs
157.313704491	109	est/obs
41.2251234055	40	est/obs
259.14470768	64	est/obs
112.826634407	41	est/obs
59.5906152725	47	est/obs
194.952263832	74	est/obs
116.393657684	50	est/obs
129.320285797	52	est/obs
113.015659332	45	est/obs
104.024700165	31	est/obs
89.3387031555	37	est/obs
56.579375267	38	est/obs
39.7959823608	42	est/obs
67.6835403442	52	est/obs
181.722868919	84	est/obs
228.712071419	74	est/obs
133.352351189	37	est/obs
88.3463544846	30	est/obs
138.34127903	60	est/obs
109.616749763	73	est/obs
98.4376220703	44	est/obs
195.483094215	57	est/obs
363.384896278	251	est/obs
59.0746145248	42	est/obs
360.785181999	198	est/obs
60.0025892258	41	est/obs
210.063572884	104	est/obs
92.3593969345	56	est/obs
45.3984851837	45	est/obs
31.2364425659	30	est/obs
54.6072130203	36	est/obs
5.59582996368	54	est/obs
45.28013134	48	est/obs
11.7196941376	39	est/obs
5.47491645813	33	est/obs
102.464756966	80	est/obs
49.9217653275	48	est/obs
37.0706596375	48	est/obs
55.2762079239	57	est/obs
39.8419237137	51	est/obs
84.5773172379	67	est/obs
61.8056077957	54	est/obs
32.487118721	36	est/obs
77.6207809448	80	est/obs
60.1376714706	69	est/obs
57.2825965881	70	est/obs
47.9062461853	71	est/obs
67.6536521912	74	est/obs
48.1573839188	70	est/obs
18.8976860046	31	est/obs
97.7565288544	88	est/obs
27.8622312546	38	est/obs
40.3884143829	40	est/obs
53.3743200302	70	est/obs
35.1379299164	39	est/obs
47.4106235504	42	est/obs
27.9421482086	30	est/obs
46.2999191284	56	est/obs
41.2626218796	31	est/obs
147.53732872	159	est/obs
89.0938043594	31	est/obs
173.542459488	57	est/obs
48.2191486359	35	est/obs
183.439543724	95	est/obs
129.206599236	39	est/obs
177.054145813	91	est/obs
39.1994590759	38	est/obs
84.6788406372	41	est/obs
51.3010568619	37	est/obs
238.80756855	236	est/obs
52.0785684586	36	est/obs
69.9670982361	36	est/obs
79.6637058258	41	est/obs
106.448385239	71	est/obs
31.3497219086	40	est/obs
26.0542631149	32	est/obs
51.6701145172	31	est/obs
39.0806903839	59	est/obs
65.0093736649	129	est/obs
43.6336402893	53	est/obs
63.3675251007	76	est/obs
33.461476326	41	est/obs
21.0628519058	41	est/obs
27.0624246597	55	est/obs
5.35289764404	37	est/obs
52.581788063	55	est/obs
28.9520988464	31	est/obs
16.4523429871	54	est/obs
100.942196846	104	est/obs
51.9347429276	34	est/obs
71.9883718491	52	est/obs
211.117581367	184	est/obs
38.4835338593	39	est/obs
114.927506447	32	est/obs
63.0328207016	71	est/obs
62.2526273727	65	est/obs
73.9482469559	51	est/obs
45.9976882935	34	est/obs
326.528054237	209	est/obs
179.265363693	86	est/obs
45.6762447357	241	est/obs
14.4084348679	41	est/obs
44.1443681717	55	est/obs
26.1865139008	30	est/obs
167.3745718	81	est/obs
63.8044061661	51	est/obs
45.8305778503	37	est/obs
92.3949480057	46	est/obs
